  PID TTY           TIME CMD
  349 ??         0:07.50 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdflagwriter
  359 ??         0:03.07 /sbin/launchd
  362 ??         0:00.69 /usr/sbin/distnoted agent
 2832 ??         0:09.01 /usr/libexec/systemstatsd
 5297 ??         0:02.28 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell -psn_0_176171
 5299 ??         0:00.12 com.apple.InputMethodKit.UserDictionary
 5575 ??         0:00.05 com.apple.DataDetectorsDynamicData
 5802 ??         0:03.12 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
 6003 ??         0:00.37 /usr/bin/ssh-agent -l
 6127 ??         0:00.09 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/PrintCore.framework/Versions/A/printtool agent
 6395 ??         0:00.02 /usr/libexec/USBAgent
 6556 ??         0:02.14 /sbin/launchd
 6558 ??         0:00.01 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdflagwriter
 6591 ??         0:00.74 /usr/sbin/systemstats --xpc
 6592 ??         0:00.03 com.apple.menuextra.airport.keychainproxy
 6595 ??         0:00.08 /System/Library/PrivateFrameworks/CloudServices.framework/Resources/com.apple.sbd
 7473 ??         5:28.39 /usr/bin/python manage.py runserver
 8184 ??         0:00.01 /usr/libexec/periodic-wrapper daily
 9886 ??         0:00.28 com.apple.security.XPCTimeStampingService
 9890 ??         0:09.19 /usr/libexec/syspolicyd
10597 ??         0:00.02 /usr/libexec/spindump_agent
10608 ??         0:00.04 com.apple.BKAgentService
11458 ??         0:00.02 ssh -i /Users/charlie/.ssh/mathbreakerscom.pem ubuntu@54.215.246.1
11707 ??         0:00.23 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
12831 ??         0:00.73 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
12848 ??         0:00.01 corestoragehelperd
12974 ??         0:02.99 /usr/libexec/xpcd
